date,ticker,open,high,low,close,volume,avg_sentiment,sentiment_std,num_articles,avg_positive,avg_negative
2026-01-20,AAPL,252.72999572753906,254.7899932861328,243.4199981689453,246.6999969482422,80267500,,,,,
2026-01-21,AAPL,248.6999969482422,251.55999755859375,245.17999267578125,247.64999389648438,54641700,,,,,
2026-01-22,AAPL,249.1999969482422,251.0,248.14999389648438,248.35000610351562,39708300,,,,,
2026-01-23,AAPL,247.32000732421875,249.41000366210938,244.67999267578125,248.0399932861328,41689000,,,,,
2026-01-26,AAPL,251.47999572753906,256.55999755859375,249.8000030517578,255.41000366210938,55857900,0.21759432092308997,0.5405006707913589,25.0,0.4029873426258564,0.18539302170276642
2026-01-20,MSFT,451.2200012207031,456.79998779296875,449.2799987792969,454.5199890136719,26130000,,,,,
2026-01-21,MSFT,452.6000061035156,452.69000244140625,438.67999267578125,444.1099853515625,37980500,,,,,
2026-01-22,MSFT,447.6199951171875,452.8399963378906,444.70001220703125,451.1400146484375,25349400,,,,,
2026-01-23,MSFT,451.8699951171875,471.1000061035156,450.5299987792969,465.95001220703125,38000200,,,,,
2026-01-26,MSFT,465.30999755859375,474.25,462.0,470.2799987792969,29247100,,,,,
2026-01-20,GOOGL,320.8699951171875,327.7300109863281,320.42999267578125,322.0,35361000,,,,,
2026-01-21,GOOGL,320.9200134277344,332.4800109863281,319.3500061035156,328.3800048828125,35386600,,,,,
2026-01-22,GOOGL,334.45001220703125,335.1499938964844,328.75,330.5400085449219,26253600,,,,,
2026-01-23,GOOGL,332.489990234375,333.69000244140625,327.45001220703125,327.92999267578125,27280000,,,,,
2026-01-26,GOOGL,327.80999755859375,335.8399963378906,327.0,333.260009765625,26011100,0.5885244726848143,0.5194609525894637,13.0,0.7030494323430153,0.11452495965820092
2026-01-20,TSLA,429.3599853515625,430.7300109863281,417.44000244140625,419.25,63187300,,,,,
2026-01-21,TSLA,421.6600036621094,438.20001220703125,419.6199951171875,431.44000244140625,68124000,,,,,
2026-01-22,TSLA,435.1600036621094,449.5,432.6300048828125,449.3599853515625,71546700,,,,,
2026-01-23,TSLA,447.42999267578125,452.42999267578125,444.0400085449219,449.05999755859375,56771400,,,,,
2026-01-26,TSLA,445.0,445.0400085449219,434.2799987792969,435.20001220703125,49212000,,,,,
2026-01-20,AMZN,233.75999450683594,235.08999633789062,229.33999633789062,231.0,47737900,,,,,
2026-01-21,AMZN,231.08999633789062,232.3000030517578,226.8800048828125,231.30999755859375,47276100,,,,,
2026-01-22,AMZN,234.0500030517578,235.72000122070312,230.89999389648438,234.33999633789062,31913300,,,,,
2026-01-23,AMZN,234.9600067138672,240.4499969482422,234.57000732421875,239.16000366210938,33778500,,,,,
2026-01-26,AMZN,239.97999572753906,240.9499969482422,237.5399932861328,238.4199981689453,32764700,-0.06778018814785515,0.9110992623089702,17.0,0.4316728259710705,0.4994530141189256
2026-01-20,NVDA,181.89999389648438,182.3800048828125,177.61000061035156,178.07000732421875,223345300,,,,,
2026-01-21,NVDA,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000,,,,,
2026-01-22,NVDA,184.75,186.1699981689453,183.92999267578125,184.83999633789062,139636600,,,,,
2026-01-23,NVDA,187.5,189.60000610351562,186.82000732421875,187.6699981689453,142748100,,,,,
2026-01-26,NVDA,187.16000366210938,189.1199951171875,185.99000549316406,186.47000122070312,124489200,,,,,
2026-01-20,META,607.8800048828125,611.4000244140625,600.0,604.1199951171875,15169600,,,,,
2026-01-21,META,606.739990234375,618.27001953125,600.0800170898438,612.9600219726562,14494700,,,,,
2026-01-22,META,629.3499755859375,660.5700073242188,626.5499877929688,647.6300048828125,21394700,,,,,
2026-01-23,META,644.77001953125,666.489990234375,644.4500122070312,658.760009765625,22797700,,,,,
2026-01-26,META,665.1300048828125,675.280029296875,661.2899780273438,672.3599853515625,16293000,0.32243315425391,0.7869926076920806,24.0,0.5831507208834713,0.2607175666295613
